Pulley No.,Shaft Diameter,Drum Diameter,Drum Length,Shaft Length 1,Shaft Length 2,Key Width,Key Length,Laggging Remarks,Remarks (Matched Pulley)
#1,250,1080,1331,700,620,45,240,w/ rubber lagging worn out,"Good Conditon Drum,  keyway Good"
,,,,,,60,270,,
#2,135,1025,1296,290,280,N/A,N/A,"w/ rubber lagging, OK",Good Conditon Drum
#3,115,755,1100,490,270,25,140,"w/ rubber lagging, OK",Good Conditon Drum
#4,136,1088,1360,330,322,N/A,N/A,"w/ rubber lagging, OK",Good Conditon Drum
#5,200,750,1120,440,455,N/A,N/A,"w/ rubber lagging, OK",Worn out Drum
#6,108,744,1125,460,259,25,218,"w/ rubber lagging, OK",Good Conditon Drum
#7,140,768,1115,401,401,N/A,N/A,"w/ rubber lagging, OK",Good Conditon Drum
#8,110,706,1115,265,484,32,115,w/ rubber lagging worn out,Worn out Drum
#9,90,758,1160,277,-,N/A,N/A,w/ rubber lagging worn out,Good Conditon Drum
#10,90,730,1170,250,-,N/A,N/A,w/ rubber lagging worn out,Worn out Drum
#11,90,770,1120,230,-,N/A,N/A,"w/ rubber lagging, OK",Good Conditon Drum
#12,140,916,1180,380,-,38,30,w/ rubber lagging worn out,Good Conditon Drum
#13,135,765,1115,430,-,N/A,N/A,w/ rubber lagging worn out,Worn out Drum
#14,80,440,1115,200,-,N/A,N/A,w/ rubber lagging worn out,"Worn out Drum, Worn out Shafting"
#15,130,722,1315,248,-,N/A,N/A,w/ rubber lagging worn out,"Worn out Drum, Good Shafting"
#16,95,605,1110,380,-,N/A,N/A,w/ rubber lagging worn out,"Worn out Drum, Worn out Shafting"
#17,77,487,1115,335,-,N/A,N/A,"w/ rubber lagging, OK","Worn out Drum, Worn out Shafting"
#18,85,645,1280,350,-,N/A,N/A,"w/ rubber lagging, OK","Good Conditon Drum, Good Shafting"
#19,360,1510,1245,480,525,N/A,N/A,"w/ rubber lagging, OK","Good Conditon Drum, Good Shafting"
#20,240,1480,1500,770,795,50,300,"w/ rubber lagging, OK","Good Conditon Drum, Good Shafting, Good Keyway"
