,,,,,,,,,,,,,,,,
,,Updated on:,2025-07-07 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Conveyor Line,Pulley,Pulley Dimensions,,,,,,,Plumber Block Number,,,"Adapter
Number","Locating Ring
Number","Bearing
Number"
,,,,"Drum Length
(mm)",Drum Diameter (mm),Load Side,Free Side,Coupling,Shaft  Length (mm),"Shaft Diameter
(mm)",Load Side,Free Side,"Lip Seal
Number",,,
,1,Wearing Conveyor 1,Head Pulley,1500,740,480,280,y,2260,115,SNV 280,SNV 280,DH 526,H 2326,FRM. 280/5,22326
,2,Wearing Conveyor 1,Head Snub Pulley,1500,510,260,260,,2020,100,SNV 200,SNV 200,DH 2322,H 2322,FRM. 200/13.5,22222
,3,Wearing Conveyor 1,Upper Bend Pulley,1500,510,260,260,,2020,100,SN 522,SN 522,DH 2322,H 2322,FRM. 200/13.5,22222
,4,Wearing Conveyor 1,Lower Bend Pulley,1500,480,240,240,,1980,100,SN 522,SN 522,DH 2322,H 2322,FRM. 200/13.5,22222
,5,Wearing Conveyor 1,Take-up Pulley,1500,480,240,240,,1980,100,SN 622,SN 622,DH 522,H 2322,FRM. 240/5,22322
,6,Wearing Conveyor 1,Take-up Bend Pulley,1500,510,260,260,,2020,100,SN 522,SN 522,DH 2322,H 2322,FRM. 200/13.5,22222
,7,Wearing Conveyor 1,Tail Pulley,1500,760,305,305,,2110,115,SNV 280,SNV 280,DH 526,H 2326,FRM. 280/5,22326
,8,Wearing Conveyor 1,Tail Snub Pulley,1500,500,260,260,,2020,100,SN 622,SN 622,DH 522,H 2322,FRM. 240/5,22322
,9,Conveyor 1A,Drive Pulley,1300,1575,900,1000,y,3200,300,SD 564,SD 564,,,,22264
,10,Conveyor 1A,Drive Snub Pulley,1300,1200,300,300,,1900,135,SN 530,SN 530,DH 530,H 3130,FRM. 270/16.5,22230
,11,Conveyor 1A,Lower Bend Pulley,1300,1220,280,300,,1880,135,SN 530,SN 530,DH 530,H 3130,FRM. 270/16.5,22230
,12,Conveyor 1A,Upper Bend Pulley,1300,1575,500,530,,2330,300,SD 564,SD 564,,,,22264
,13,Conveyor 1A,Take-up Pulley,1120,1070,410,430,,1960,140,SNS 632,SNS 632,DH 532,H 2332,FRM. 340/5,22332
,14,Conveyor 1A,Tail Pulley,1270,920,330,330,,1930,160,SD 3136,SD 3136,,,,23136
,15,Conveyor 1A,Tail Snub Pulley,1170,460,290,270,,1730,90,SNV 215,SNV 215,DH 620,H 2320,FRM. 215/6.5,22320
,16,Conveyor 1A,Head Snub Pulley,1300,1220,460,400,,2160,200,SD 544,SD 544,,,,22244
,17,Conveyor 1A,Head Pulley,1300,1600,460,460,,2220,300,SD 564,SD 564,,,,22264
,18,Dribble Conveyor,Drive Pulley,1500,400,430,320,y,2250,75,SNV 150,SNV 150,,,,22217
,19,Dribble Conveyor,Tail Pulley,1500,400,320,320,,2140,75,SNV 150,SNV 150,,,,22217
,20,Wearing Conveyor 2,Drive Pulley,1475,620,420,200,y,2095,125,SNV 250,SNV 250,DH 528,H 3128,FRM. 250/15,22228
,21,Wearing Conveyor 2,Drive Snub Pulley,1500,460,310,310,,2120,80,SNV 190,SNV 190,DH 518,H 2318,FRM. 190/5,22318
,22,Wearing Conveyor 2,Tail Pulley,1493,470,280,262,,2035,90,SNV 200,SNV 200,DH 2322,H 2322,FRM. 200/13.5,22320
,23,Conveyor 1B,Head Pulley,1170,1080,320,320,,1810,125,SNV 300,SNV 300,DH 528,H 2328,FRM. 300/5,22328
,24,Conveyor 1B,Head Snub Pulley,1170,500,325,325,,1820,125,SNV 300,SNV 300,DH 528,H 2328,FRM. 300/5,22328
,25,Conveyor 1B,Drive Snub Pulley,1170,780,320,320,,1810,125,SNV 250,SNV 250,DH 528,H 3128,FRM. 250/15,22228
,26,Conveyor 1B,Drive Pulley,1170,1090,620-610,320,y,#VALUE!,140,SNV 340,SNV 340,DH 532,H 2332,FRM. 340/5,22332
,27,Conveyor 1B,Lower Bend Pulley,1170,610,320,320,,1810,100,SNV 240,SNV 240,DH 522,H 2322,FRM. 240/5,22322
,28,Conveyor 1B,"Gravity Take Up Pulley 1
(Upper Bend Tension Pulley)",1170,750,320,320,,1810,100,SNV 250,SNV 250,DH 528,H 3128,FRM. 250/15,22228
,29,Conveyor 1B,"Gravity Pulley
(Counterweight)",1170,915,330,330,,1830,125,SNV 200,SNV 200,DH 2322,H 2322,FRM. 200/13.5,22222
,30,Conveyor 1B,"Gravity Pulley 2
(Lower Bend Tension Pulley)",1170,770,320,320,,1810,100,SNV 200,SNV 200,DH 2322,H 2322,FRM. 200/13.5,22222
,31,Conveyor 1B,Tail Snub Pulley,1170,510,330,330,,1830,125,SNV 250,SNV 250,DH 528,H 3128,FRM. 250/15,22228
,32,Conveyor 1B,Tail Pulley,1120,1020,355,355,,1830,125,SNV 250,SNV 250,DH 528,H 3128,FRM. 250/15,22228
,33,Conveyor 3A,Head Pulley,1500,965,560,560,,2620,240,SD 3152,SD 3152,,,,23152
,34,Conveyor 3A,Head Snub Pulley,1500,815,300,300,,2100,140,SN 632,SN 632,DH 532,H 2332,FRM. 340/5,22332
,35,Conveyor 3A,Pressure Pulley # 1,1500,450,290,290,,2080,90,SN 620,SN 620,DH 620,H 2320,FRM. 215/6.5,23220
,36,Conveyor 3A,Pressure Pulley # 2,1500,400,240,240,,1980,100,SN 622,SN 622,DH 522,H 2322,FRM. 240/5,22322
,37,Conveyor 3A,Hi Tension Pulley,1500,1065,450,450,,2400,240,SD 3152,SD 3152,,,,23152
,38,Conveyor 3A,Drive Pulley,1500,1800,840,860,y,3200,300,SD 564,SD 564,,,,22264
,39,Conveyor 3A,Drive Snub Pulley,1500,915,310,310,,2120,150,SD 3134,SD 3134,,,,23134
,40,Conveyor 3A,Take Up Pulley,1500,760,320,320,,2140,160,SD 3136,SD 3136,,,,23136
,41,Conveyor 3A,Lo Tension Pulley,1500,890,320,320,,2140,150,SD 3134,SD 3134,,,,23134
,42,Conveyor 3A,Tail Snub Pulley,1500,510,280,280,,2060,115,SNV 280,SNV 280,DH 526,H 2326,FRM. 280/5,22326
,43,Conveyor 3A,Tail Pulley,1500,1000,560 / 450,560 / 430,,2620,240,SNL 3152,SNL 3152,,,,23152
,44,Conveyor 3B,Drive Pulley,1500,990,420,780,y,2700,240,SD 3152,SD 3152,,,,23152
,45,Conveyor 3B,Drive Snub Pulley,1500,710,320,320,,2140,160,SNL3136,SNL 3136,,,,23136
,46,Conveyor 3B,Counterweight Bend # 1,1500,780,370,370,,2240,160,SNL 3136,SNL 3136,,,,23136
,47,Conveyor 3B,Counterweight Pulley,1500,915,330,330,,2160,160,SNL 3136,SNL 3136,,,,23136
,48,Conveyor 3B,Counterweight Bend # 2,1500,780,370,370,,2240,160,SNL 3136,SNL 3136,,,,23136
,49,Conveyor 3B,Tail Snub Pulley,1500,510,305,305,,2110,100,SNV 240,SNV 240,DH 522,H 2322,FRM. 240/5,22322
,50,Conveyor 3B,Tail Pulley,1500,810,400,400,,2300,160,SNL 3136,SNL 3136,,,,23136
,51,Conveyor 3B,Upper Bend Pulley,1500,965,430,430,,2360,240,SD 3152,SD 3152,,,,23152
,52,Conveyor 3B,Lower Bend Pulley,1500,965,430,430,,2360,240,SD 3152,SD 3152,,,,23152
,53,Conveyor 4,Head Pulley,1130,775,470,540,,2140,115,SNV 230,SNV 230,DH 526,H 3126,FRM. 230/13,22226
,54,Conveyor 4,Head Snub Pulley,1120,460,250,250,,1620,80,SN 618,SN 618,DH 518,H 2318,FRM. 190/5,22318
,55,Conveyor 4,Tail Pulley,1130,480,268,268,,1666,100,SNV 240,SNV 240,DH 522,H 2322,FRM. 240/5,22322
,56,Conveyor 4,Tachogen Pulley,1115,310,190,200,,1505,60,S 613,S 613,DH 613,H 2313,FRM. 140/5,22313
,57,Conveyor 5,Head Pulley,1330,700,300,600,y,2230,140,SN 532,SN 532,DH 532,H 3132,FRM. 290/17,22232
,58,Conveyor 5,Head Snub Pulley,1250,500,300,300,,1850,90,SNV 215,SNV 215,DH 620,H 2320,FRM. 215/6.5,22320
,59,Conveyor 5,Tail Pulley,1270,500,290,290,,1850,115,SNV 280,SN 626,DH 256,H 2326,FRM. 280/5,22326
,60,Conveyor 5,Pressure Pulley,1300,450,300,300,,1900,125,SN 528,SN 528,DH 528,H 3128,FRM. 250/15,22228
,61,Conveyor 6,Head Pulley,1300,990,805,410,,2515,220,SD 3148,SD 3148,,,,23148
,62,Conveyor 6,Head Snub Pulley,1290,800,300,300,,1890,140,SNV 340,SNV 340,DH 532,H 2332,FRM. 340/5,22332
,63,Conveyor 6,Drive Pulley,1330,965,710,710,y,2750,220,SD 3148,SD 3148,,,,23148
,64,Conveyor 6,Drive Snub Pulley,1300,760,340,340,,1980,140,SN 532,SN 532,DH 532,H 3132,FRM. 290/17,22232
,65,Conveyor 6,Take Up Pulley,1300,915,400,400,,2100,140,SN 532,SN 532,DH 532,H 3132,FRM. 290/17,22232
,66,Conveyor 6,Tail Snub Pulley,1360,500,370,370,,2100,115,SN 526,SNV 230,DH 526,H 3126,FRM. 230/13,22226
,67,Conveyor 6,Tail Pulley,1250,1020,470,470,,2190,160,SD 3136,SD 3136,,,,23136
,68,Conveyor 6,Upper Bend Pulley,1300,900,400,400,,2100,220,SD 3148,SD 3148,,,,23148
,69,Conveyor 6,Lower Bend Pulley,1300,900,400,400,,2100,220,SD 3148,SD 3148,,,,23148
,70,Conveyor 6,Pressure Pulley # 3,1300,530,250,250,,1800,140,SN 532,SN 532,DH 532,H 3132,FRM. 290/17,22232
,71,Conveyor 6,Pressure Pulley # 2,1330,510,250,250,,1830,90,S 620   R,SN 620  L,DH 620,H 2320,FRM. 215/6.5,22320
,72,Conveyor 6,Pressure Pulley # 1,1300,915,330,330,,1960,140,SNA 528,SNA 528,DH 528,H 3128,FRM. 250/15,22228
,73,Conveyor 6,Hi-Tension Bend Pulley,1330,980,460,460,,2250,220,SD 3148,SD 3148,,,,23148
,74,Conveyor 6,Lo-Tension Bend Pulley,1380,760,300,300,,1980,140,SN 532,SN 532,DH 532,H 3132,FRM. 290/17,22232
,75,Conveyor 7A,Head Pulley,1300,950,640,230,,2170,160,SD 3136,SD 3136,,,,23136
,76,Conveyor 7A,Head Snub Pulley,1300,460,350,350,,2000,90,SN 620,SN 620,DH 620,H 2320,FRM. 215/6.5,22320
,77,Conveyor 7A,Tail Pulley,1300,585,280,330,,1910,125,SN 628,SN 628,DH 528,H 2328,FRM. 300/5,22328
,78,Conveyor 7A,Tachogen Pulley,1370,440,160,230,,1760,50,SN 611,SN 611,,,,22311
,79,Conveyor 7B,Head Pulley,1320,1370,650,608,,2578,240,SNL 3152,SNL 3152,,,,23152
,80,Conveyor 7B,Head Snub Pulley,1300,450,350,350,,2000,100,SN 622,SN 622,DH 522,H 2322,FRM. 240/5,22322
,81,Conveyor 7B,Tail Pulley,1295,625,290,290,,1875,125,SN 528,SN 528,DH 528,H 3128,FRM. 250/15,22228
,82,Conveyor 7B,Upper Bend Pulley,1320,745,300,300,,1920,140,SN 532,SN 532,DH 532,H 3132,FRM. 290/17,22232
,83,Conveyor 7B,Lower Bend Pulley,1300,780,415,298,,2013,140,SNV 290,SN 532,DH 532,H 3132,FRM. 290/17,22232
,84,Belt Feeder 2A,Drive Pulley,1115,515,580,315,,"=SUM(E89,G89,H89)",135,SN 630,SN 630,DH 530,H 2330,FRM. 320/5,22330
,85,Belt Feeder 2A,Tail Pulley,1500,535,305,305,,"=SUM(E90,G90,H90)",115,SNV 280,SNV 280,DH 256,H 2326,FRM. 280/5,22326
,86,Belt Feeder 2B,Drive Pulley,1483,530,555,315,IP-N/A / 1130T10C,"=SUM(E91,G91,H91)",135,SN 630,,DH 530,H 2330,FRM. 320/5,22330
,87,Belt Feeder 2B,Tail Pulley,1555,520,310,270,,"=SUM(E92,G92,H92)",100,S 626,,DH 256,H 2326,FRM. 280/5,22326
,88,Belt Feeder 2C,Drive Pulley,1485,535,550,-,IP-1070T10D / OP-1130T10D,"=SUM(E93,G93,H93)",135,SN 630,,DH 530,H 2330,FRM. 320/5,22330
,89,Belt Feeder 2C,Tail Pulley,1495,525,300,285,,"=SUM(E94,G94,H94)",115,S 626,,DH 256,H 2326,FRM. 280/5,22326
,90,Belt Feeder 2D,Drive Pulley,1488,495,535,350,IP-1070T10D / OP-1130T10D,"=SUM(E95,G95,H95)",135,SN 630,,DH 530,H 2330,FRM. 320/5,22330
,91,Belt Feeder 2D,Tail Pulley,1500,520,315,290,,"=SUM(E96,G96,H96)",115,SN 626,,DH 256,H 2326,FRM. 280/5,22326
,92,Belt Feeder 2E,Drive Pulley,1480,550,620,260,IP-1070T10D / OP-N/A,"=SUM(E97,G97,H97)",135,SN 630,,DH 530,H 2330,FRM. 320/5,22330
,93,Belt Feeder 2E,Tail Pulley,1462,635,510,285,,"=SUM(E98,G98,H98)",115,S 626,,DH 256,H 2326,FRM. 280/5,22326
,94,Belt Feeder 2F,Drive Pulley,1483,495,580,287,,"=SUM(E99,G99,H99)",135,SN 630,SN 630,DH 530,H 2330,FRM. 320/5,22330
