Pulley No.,Shaft Diameter,Drum Diameter,Drum Length,Shaft Length 1,Shaft Length 2,Key Width,Key Length,Laggging Remarks,Remarks (Matched Pulley)
#1,125,485,1230,330,515,32,220,"w/ rubber lagging, worn out","Worn out Drum, Single round end key"
#2,90,438,1170,273,365,N/A,N/A,No rubber lagging,Worn out Drum
#3,100,440,1500,210,250,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#4,92,442,1170,260,270,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#5,138,759,1372,290,290,N/A,N/A,No rubber lagging,Good Conditon Drum
#6,97,597,1113,256,250,N/A,N/A,No rubber lagging,Worn out Drum
#7,100,490,1500,250,255,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#8,90,440,1495,280,275,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#9,125,505,1140,440,460,35,150,"w/ rubber lagging, OK",Worn out Drum
#10,80,460,1115,190,200,N/A,N/A,No rubber lagging,Worn out Drum
#11,125,505,1170,325,350,N/A,N/A,"w/ rubber lagging, worn out",Good Conditon Drum
#12,125,485,1254,270,500,30,130,"w/ rubber lagging, worn out",Worn out Drum
#13,90,500,1245,405,400,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#14,100,470,1495,210,210,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#15,100,510,1300,310,305,N/A,N/A,"w/ rubber lagging, worn out",Good Conditon Drum
#16,80,450,1115,230,230,N/A,N/A,No rubber lagging,Worn out Drum
#17,127,507,1295,270,255,N/A,N/A,"w/ rubber lagging, worn out",Good Conditon Drum
#18,100,600,1465,210,207,N/A,N/A,"w/ rubber lagging, OK",Good Conditon Drum
#19,115,765,1120,257,465,25,140,"w/ rubber lagging, worn out",Worn out Drum
#20,160,510,1505,347,344,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#21,115,485,1344,365,365,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#22,80,472,1270,320,400,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#23,110,496,1495,290,280,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#24,135,503,1440,340,580,30,195,"w/ rubber lagging, worn out","Worn out Drum, Rectangular Key"
#25,150,870,1500,310,310,N/A,N/A,"w/ rubber lagging, worn out",Good Conditon Drum
#26,80,440,1115,265,240,N/A,N/A,No rubber lagging,Worn out Drum
#27,240,1350,1325,607,630,55,280,"w/ rubber lagging, worn out",Good Conditon Drum
#28,220,980,1310,380,400,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#29,160,920,1500,320,330,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#30,200,1220,1311,360,460,N/A,N/A,No rubber lagging,Worn out Drum
#31,120,950,1311,585,620,33,230,"w/ rubber lagging, worn out",Good Conditon Drum
#32,160,980,1270,250,325,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#33,240,960,1500,610,610,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#34,124,994,1120,337,340,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#35,240,1020,1495,560,550,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#36,200,854,1245,435,435,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#37,240,966,1495,540,535,N/A,N/A,"w/ rubber lagging, worn out",Worn out Drum
#38,140,940,1502,320,400,30,50,No rubber lagging,Worn out Drum
#39,115,1015,1170,570,625,32,225,No rubber lagging,Worn out Drum
#40,100,628,1495,310,355,N/A,N/A,"w/ rubber lagging, worn out","w/ rubber lagging, worn out"
#41,220,480,1312,-,720,45,230,"w/ rubber lagging, OK",Good Conditon Drum
#42,195,1205,1245,-,495,N/A,N/A,"w/ rubber lagging, OK",Good Conditon Drum
